Time,Open Price,Volume
2023-12-15 07:00:00,43022.26000000,1131.17759000
2023-12-15 08:00:00,42889.00000000,810.74342000
2023-12-15 09:00:00,42974.94000000,788.07498000
2023-12-15 10:00:00,42876.68000000,1695.94596000
2023-12-15 11:00:00,42795.94000000,925.34350000
2023-12-15 12:00:00,42805.66000000,1271.01544000
2023-12-15 13:00:00,42592.62000000,849.79169000
2023-12-15 14:00:00,42564.56000000,1162.86958000
2023-12-15 15:00:00,42699.99000000,1451.20975000
2023-12-15 16:00:00,42870.58000000,1565.76127000
2023-12-15 17:00:00,42834.90000000,1036.87157000
2023-12-15 18:00:00,42847.08000000,772.04545000
2023-12-15 19:00:00,42776.04000000,1215.74308000
2023-12-15 20:00:00,42605.12000000,3087.47128000
2023-12-15 21:00:00,42288.03000000,2412.04274000
2023-12-15 22:00:00,42181.11000000,3412.31670000
2023-12-15 23:00:00,41909.56000000,1726.49287000
2023-12-16 00:00:00,41798.23000000,1631.14504000
2023-12-16 01:00:00,41855.05000000,930.43401000
2023-12-16 02:00:00,42114.42000000,1539.95420000
2023-12-16 03:00:00,42096.08000000,993.36861000
2023-12-16 04:00:00,42220.00000000,778.60338000
2023-12-16 05:00:00,42238.02000000,944.68661000
2023-12-16 06:00:00,42061.14000000,1288.68448000
2023-12-16 07:00:00,41940.29000000,1528.99454000
2023-12-16 08:00:00,41908.41000000,943.52822000
2023-12-16 09:00:00,42066.03000000,668.36816000
2023-12-16 10:00:00,42148.89000000,1331.60796000
2023-12-16 11:00:00,42333.79000000,666.59871000
2023-12-16 12:00:00,42286.00000000,554.12474000
2023-12-16 13:00:00,42266.09000000,817.97440000
2023-12-16 14:00:00,42205.05000000,560.00960000
2023-12-16 15:00:00,42222.67000000,1012.24976000
2023-12-16 16:00:00,42179.13000000,1031.12289000
2023-12-16 17:00:00,42209.48000000,481.40650000
2023-12-16 18:00:00,42261.08000000,608.07412000
2023-12-16 19:00:00,42332.00000000,1141.95393000
2023-12-16 20:00:00,42418.96000000,1660.66648000
2023-12-16 21:00:00,42396.10000000,599.98619000
2023-12-16 22:00:00,42361.64000000,1153.38237000
2023-12-16 23:00:00,42603.99000000,1558.49828000
2023-12-17 00:00:00,42590.14000000,932.92407000
2023-12-17 01:00:00,42506.88000000,2085.87134000
2023-12-17 02:00:00,42466.00000000,1665.24910000
2023-12-17 03:00:00,42351.74000000,962.80584000
2023-12-17 04:00:00,42333.89000000,677.00945000
2023-12-17 05:00:00,42295.05000000,904.26234000
2023-12-17 06:00:00,42311.29000000,572.18848000
2023-12-17 07:00:00,42278.02000000,586.04241000
2023-12-17 08:00:00,42145.84000000,1114.93234000
2023-12-17 09:00:00,42006.05000000,830.18386000
2023-12-17 10:00:00,41874.00000000,722.76912000
2023-12-17 11:00:00,41925.55000000,626.86135000
2023-12-17 12:00:00,42000.01000000,1104.54295000
2023-12-17 13:00:00,41902.70000000,890.39018000
2023-12-17 14:00:00,41997.46000000,924.11737000
2023-12-17 15:00:00,41886.75000000,1477.32977000
2023-12-17 16:00:00,41894.31000000,816.61647000
2023-12-17 17:00:00,41984.35000000,922.52716000
2023-12-17 18:00:00,41946.50000000,678.70212000
2023-12-17 19:00:00,41960.07000000,932.56549000
2023-12-17 20:00:00,41949.21000000,1025.24606000
2023-12-17 21:00:00,41862.90000000,1825.46730000
2023-12-17 22:00:00,41624.00000000,1076.73038000
2023-12-17 23:00:00,41811.37000000,1566.13193000
2023-12-18 00:00:00,42111.22000000,3051.09632000
2023-12-18 01:00:00,42091.38000000,1866.14098000
2023-12-18 02:00:00,42173.21000000,654.78292000
2023-12-18 03:00:00,42105.91000000,501.70265000
2023-12-18 04:00:00,42122.81000000,638.38623000
2023-12-18 05:00:00,41938.00000000,1024.86789000
2023-12-18 06:00:00,41717.85000000,2863.98127000
2023-12-18 07:00:00,41374.64000000,2129.59766000
2023-12-18 08:00:00,41367.96000000,2521.59990000
2023-12-18 09:00:00,40982.01000000,1972.14730000
2023-12-18 10:00:00,40900.57000000,1433.18924000
2023-12-18 11:00:00,41090.92000000,919.08559000
2023-12-18 12:00:00,41187.53000000,1456.03618000
2023-12-18 13:00:00,41004.19000000,1350.52366000
2023-12-18 14:00:00,41210.46000000,1283.05216000
2023-12-18 15:00:00,41126.01000000,1569.35830000
2023-12-18 16:00:00,41196.19000000,2831.34336000
2023-12-18 17:00:00,41047.52000000,3364.76098000
2023-12-18 18:00:00,40823.50000000,2267.27912000
2023-12-18 19:00:00,41105.12000000,1377.26734000
2023-12-18 20:00:00,40905.28000000,2509.99507000
2023-12-18 21:00:00,41356.17000000,2919.77415000
2023-12-18 22:00:00,41605.31000000,2573.20581000
2023-12-18 23:00:00,41265.95000000,1534.52342000
2023-12-19 00:00:00,41495.99000000,1317.32288000
2023-12-19 01:00:00,41385.01000000,862.05710000
2023-12-19 02:00:00,41643.43000000,1046.61122000
2023-12-19 03:00:00,41701.11000000,1754.61899000
2023-12-19 04:00:00,41971.09000000,3963.08266000
2023-12-19 05:00:00,42619.99000000,1956.16208000
2023-12-19 06:00:00,42511.10000000,1821.49833000
2023-12-19 07:00:00,42657.80000000,2327.75632000
2023-12-19 08:00:00,42713.97000000,3416.40652000
2023-12-19 09:00:00,43314.99000000,2352.65898000
2023-12-19 10:00:00,43076.71000000,1318.28364000
2023-12-19 11:00:00,43082.21000000,1453.74012000
2023-12-19 12:00:00,42921.47000000,926.20047000
2023-12-19 13:00:00,42958.79000000,848.12034000
2023-12-19 14:00:00,42907.09000000,1458.02260000
2023-12-19 15:00:00,43036.17000000,1575.37018000
2023-12-19 16:00:00,43088.06000000,1185.47140000
2023-12-19 17:00:00,43037.15000000,1669.36453000
2023-12-19 18:00:00,43129.53000000,2076.99801000
2023-12-19 19:00:00,42976.10000000,1286.60034000
2023-12-19 20:00:00,42946.00000000,1175.72526000
2023-12-19 21:00:00,42861.75000000,3490.29340000
2023-12-19 22:00:00,42367.03000000,2373.74773000
2023-12-19 23:00:00,42486.85000000,1492.88928000
2023-12-20 00:00:00,42337.83000000,3312.17419000
2023-12-20 01:00:00,41854.07000000,1874.23732000
2023-12-20 02:00:00,42216.41000000,1514.20576000
2023-12-20 03:00:00,42341.96000000,1163.55200000
2023-12-20 04:00:00,42228.16000000,933.82268000
2023-12-20 05:00:00,42517.98000000,782.15510000
2023-12-20 06:00:00,42333.63000000,920.06827000
2023-12-20 07:00:00,42275.99000000,926.83175000
2023-12-20 08:00:00,42423.50000000,833.77664000
2023-12-20 09:00:00,42308.64000000,909.10222000
2023-12-20 10:00:00,42428.01000000,758.36694000
2023-12-20 11:00:00,42419.75000000,1833.60101000
2023-12-20 12:00:00,42812.96000000,1077.47947000
