timestamp,open,high,low,close,volume,SMA,RSI
2023-10-05 16:00:00,27555.0,27617.57,27352.0,27471.28,6407.84463,,
2023-10-05 20:00:00,27471.28,27509.45,27388.0,27410.39,2432.59073,,
2023-10-06 00:00:00,27410.39,27590.0,27389.99,27559.2,3193.26664,,
2023-10-06 04:00:00,27559.2,27651.0,27464.48,27638.52,3024.13516,,
2023-10-06 08:00:00,27638.51,27801.0,27588.53,27760.0,5204.72994,,
2023-10-06 12:00:00,27760.0,28044.86,27175.94,27941.12,14574.01071,,
2023-10-06 16:00:00,27941.12,28038.0,27789.14,27952.36,7070.26306,,
2023-10-06 20:00:00,27952.35,28295.0,27877.6,27931.09,4916.83726,,
2023-10-07 00:00:00,27931.1,27955.9,27842.08,27900.41,2783.26342,,
2023-10-07 04:00:00,27900.41,27944.84,27875.0,27890.8,1744.73112,,
2023-10-07 08:00:00,27890.79,28029.67,27880.01,27942.12,2905.54923,,
2023-10-07 12:00:00,27942.12,27986.27,27895.28,27939.8,1884.78495,,
2023-10-07 16:00:00,27939.8,27964.2,27850.0,27865.48,2398.58265,,
2023-10-07 20:00:00,27865.49,27959.75,27856.66,27956.67,1631.92688,,
2023-10-08 00:00:00,27956.67,28095.14,27943.9,28064.87,3093.52502,,79.92578924549039
2023-10-08 04:00:00,28064.87,28076.04,27878.06,27905.61,4667.47017,,68.14176086863093
2023-10-08 08:00:00,27905.61,27937.5,27775.0,27811.63,3177.47074,,62.30412428406594
2023-10-08 12:00:00,27811.63,27999.72,27687.5,27892.74,3957.49167,,65.08427542088565
2023-10-08 16:00:00,27892.74,27948.68,27807.82,27894.99,2423.88211,,65.16103500509834
2023-10-08 20:00:00,27894.99,27980.0,27800.0,27917.05,2373.7295,,65.95138361956653
2023-10-09 00:00:00,27917.06,27987.93,27796.53,27921.73,2583.18056,,66.12694655254523
2023-10-09 04:00:00,27921.72,27944.0,27808.4,27813.27,2493.15029,,58.587387882450194
2023-10-09 08:00:00,27813.27,27842.03,27412.21,27468.92,9638.88315,,42.154154877293855
2023-10-09 12:00:00,27468.91,27578.81,27374.73,27443.31,6434.2211,,41.22795473630265
2023-10-09 16:00:00,27443.32,27750.03,27260.0,27616.66,8727.0625,,49.34158163749408
2023-10-09 20:00:00,27616.66,27653.27,27556.2,27590.12,1658.24879,,48.24347487467386
