cust_code,customer_name,doc_date,total_amount
นน-285,ร้าน ดำรงค์การไฟฟ้า (สามัคคี),2019-03-03,2950.00
กท-138,ช่างวิเชียร ประชาชื่นซอย 4,2019-03-03,1450.00
นน-13,ธนกฤตแอร์,2019-03-04,1950.00
นน-156,อู่ณัฐ,2019-03-02,1000.00
นน-238,บริษัท จานทองอะไหล่แอร์ จำกัด,2019-03-04,8160.00
นน-14,บริษัท โตโยต้านนทบุรี ผู้จำหน่ายโตโยต้า จำกัด,2019-03-02,2749.90
PC-097,ร้าน ต.สิทธิแอร์-ไดนาโม,2021-01-23,7500.00
นน-07,โชคชัยออโต้แอร์,2019-04-05,450.00
พม-06,ร้าน ภิธาน คาร์ออดิโอ,2019-03-02,1970.00
นน-122,ร้าน ช่างโรจน์,2019-03-04,3400.00
นน-179,เก่ง ออโต้แอร์  (แยก อตก.),2019-03-04,900.00
พม-05,วีเอส.ออโต้แก๊ส (VS.AUTOGAS),2019-03-04,3600.00
.......,ร้าน .................................................,2019-03-02,2000.00
นน-254,ศุภวิชญ์อะไหล่,2019-03-04,400.00
นน-177,AC. ออโต้แอร์,2019-03-04,5400.00
นน-323,อู่ DR.MINI,2019-04-05,3300.00
นน-179,เก่ง ออโต้แอร์  (แยก อตก.),2019-03-02,5550.00
นน-307,ช.ช้างออโต้แอร์,2019-03-04,930.00
นน-68,ท.การช่าง,2019-04-06,800.00
กท-43,นิวสยามแอร์,2019-04-11,4750.00
นน-174,ยูโรเลี่ยงเมือง,2019-03-04,2800.00
151,สด,2019-03-04,2900.00
นน-307,ช.ช้างออโต้แอร์,2019-03-04,1445.00
151,สด,2019-03-04,1650.00
นน-256,R & W ออโต้คาร์,2019-03-04,1400.00
นน-256,R & W ออโต้คาร์,2019-03-04,3000.00
นน-157,พฤธาแอร์,2019-03-04,1050.00
นน-158,กิจเจริญออโต้แอร์ (รัตนา),2019-03-04,2400.00
นน-37,เจฟฟรี่เซอร์วิส,2019-03-04,600.00
นน-246,สมคิดออโต้แอร์ ,2019-06-05,350.00
151,สด,2019-04-06,1000.00
นน-185,อู่ก้องภพ,2019-03-04,1300.00
151,สด,2019-04-11,900.00
กท-114,เป็นหนึ่งการช่าง,2019-04-19,11800.00
กท-114,เป็นหนึ่งการช่าง,2019-04-20,7500.00
นน-69,เค ที เซอร์วิส,2019-04-18,3000.00
นน-68,ท.การช่าง,2019-04-05,2200.00
นน-238,บริษัท จานทองอะไหล่แอร์ จำกัด,2019-04-22,9000.00
นน-22,โชคเจริญมอเตอร์,2019-03-04,2730.00
กท-55,แสงชัยมอเตอร์,2019-03-04,1000.00
กท-114,เป็นหนึ่งการช่าง,2019-03-04,6600.00
กท-116,มีชัย ออโต้แอร์,2019-03-04,2000.00
กท-116,มีชัย ออโต้แอร์,2019-03-04,700.00
นน-13,ธนกฤตแอร์,2019-03-04,2550.00
นน-65,กาญจนาอะไหล่แอร์,2019-03-04,450.00
นน-69,เค ที เซอร์วิส,2019-03-04,1900.00
นน-41,กอยิ่งเจริญ,2019-03-04,750.00
กท-50,นิวสยามแอร์   3   แคราย,2019-03-04,1100.00
นน-246,สมคิดออโต้แอร์ ,2019-03-04,1230.00
นน-67,ชัยฤทธิ์แอร์,2020-02-08,800.00
นน-122,ร้าน ช่างโรจน์,2019-03-04,8600.00
151,สด,2019-03-04,3300.00
151,สด,2019-03-04,1600.00
นน-206,Bank Air ,2019-03-04,3080.00
ปท-12,ก.เจริญยนต์,2019-03-04,3850.00
นน-130,เค เอส คูลลิ่ง,2019-03-04,1620.00
นน-41,กอยิ่งเจริญ,2019-03-04,250.00
นน-67,ชัยฤทธิ์แอร์,2019-03-04,1254.00
นน-43,เล็กเซอร์วิส,2019-03-04,1050.00
นน-151,สมพงษ์แอร์,2019-03-03,1000.00
นน-323,อู่ DR.MINI,2019-04-06,10000.00
กท-133,บอย โฟลค์ (BOY VOLK),2019-04-09,3200.00
นน-22,โชคเจริญมอเตอร์,2019-03-04,1520.00
ปท-01,ศ.เครื่องเย็น,2019-03-04,5430.00
นน-66,ห้างหุ้นส่วนจำกัด พระนคร ออโต้แอร์ (สำนักงานใหญ่),2019-03-04,3200.00
นน-69,เค ที เซอร์วิส,2019-03-04,1500.00
นน-69,เค ที เซอร์วิส,2019-03-04,1050.00
นน-43,เล็กเซอร์วิส,2019-03-04,1000.00
นน-179,เก่ง ออโต้แอร์  (แยก อตก.),2019-04-05,4090.00
PC-0176,อู่ชัยเซอร์วิส คลินิกรถยนต์ ,2020-03-17,750.00
นน-201,อู่พ่อเขียว,2019-03-04,7500.00
นน-232,ร้านวิรัตน์ (บางกร่าง),2019-03-04,1950.00
นน-22,โชคเจริญมอเตอร์,2019-03-04,4700.00
นน-301,บริษัท นรินทร์ คาร์ เซอร์วิส จำกัด,2019-03-04,500.00
นน-01,ต.เจริญ แอร์ แอนด์ ซาวด์,2019-03-04,7500.00
กท-43,นิวสยามแอร์,2019-03-04,1585.74
กท-43,นิวสยามแอร์,2019-03-04,3856.00
นน-69,เค ที เซอร์วิส,2019-03-04,250.00
นน-41,กอยิ่งเจริญ,2019-03-04,550.00
นน-07,โชคชัยออโต้แอร์,2019-03-04,1000.00
นน-07,โชคชัยออโต้แอร์,2019-03-04,2850.00
นน-117,มิตรสัมพันธ์,2019-03-04,1000.00
นน-199,ร้าน 999 (สวนผัก),2019-03-04,1200.00
151,สด,2019-04-09,1900.00
นน-22,โชคเจริญมอเตอร์,2019-03-04,5120.00
กท-85,บริษัท คูลลิ่งซาวด์ (สำนักงานใหญ่),2019-03-04,2900.00
ปท-01,ศ.เครื่องเย็น,2019-03-04,5800.00
151,สด,2019-03-04,2550.00
พม-06,ร้าน ภิธาน คาร์ออดิโอ,2019-03-04,1000.00
นน-256,R & W ออโต้คาร์,2019-03-04,900.00
นน-13,ธนกฤตแอร์,2019-03-04,1320.00
นน-13,ธนกฤตแอร์,2019-03-05,2010.00
นน-13,ธนกฤตแอร์,2019-03-05,2650.00
นน-13,ธนกฤตแอร์,2019-03-05,1800.00
นน-67,ชัยฤทธิ์แอร์,2019-03-05,500.00
กท-50,นิวสยามแอร์   3   แคราย,2019-03-05,1608.95
นน-199,ร้าน 999 (สวนผัก),2019-03-05,1950.00
นน-246,สมคิดออโต้แอร์ ,2019-06-06,3220.00
นน-122,ร้าน ช่างโรจน์,2019-03-05,3050.00
นน-193,P O (บางกรวย),2019-03-05,2600.00
นน-190,วินัยบางกรวย,2019-03-05,500.00
151,สด,2019-03-05,2080.00
นน-66,ห้างหุ้นส่วนจำกัด พระนคร ออโต้แอร์ (สำนักงานใหญ่),2019-03-05,15850.00
นน-157,พฤธาแอร์,2019-03-05,1400.00
นน-157,พฤธาแอร์,2019-03-05,650.00
กท-43,นิวสยามแอร์,2019-03-05,1500.00
กท-50,นิวสยามแอร์   3   แคราย,2019-03-05,1500.00
กท-50,นิวสยามแอร์   3   แคราย,2019-03-05,200.00
นน-117,มิตรสัมพันธ์,2019-03-05,1100.00
นน-179,เก่ง ออโต้แอร์  (แยก อตก.),2019-03-05,900.00
นน-64,อมรทรัพย์ยนต์,2019-03-05,2020.00
นน-13,ธนกฤตแอร์,2019-03-05,2400.00
นน-07,โชคชัยออโต้แอร์,2019-03-05,2930.00
นน-07,โชคชัยออโต้แอร์,2019-03-05,3150.00
นน-07,โชคชัยออโต้แอร์,2019-03-05,400.00
กท-50,นิวสยามแอร์   3   แคราย,2019-03-05,240.00
นน-27,เจี๊ยบ บริการ,2019-03-05,930.00
นน-283,อู่ BOBBY ,2019-03-05,900.00
นน-232,ร้านวิรัตน์ (บางกร่าง),2019-03-05,1000.00
.......,ร้าน .................................................,2019-03-05,350.00
นน-66,ห้างหุ้นส่วนจำกัด พระนคร ออโต้แอร์ (สำนักงานใหญ่),2019-03-05,1800.00
นน-13,ธนกฤตแอร์,2019-03-05,1300.00
นน-13,ธนกฤตแอร์,2019-03-05,550.00
นน-67,ชัยฤทธิ์แอร์,2019-03-05,3880.00
นน-67,ชัยฤทธิ์แอร์,2019-03-05,12560.00
นน-43,เล็กเซอร์วิส,2019-03-05,7250.00
