Time,Open Price,Volume
2023-12-15 07:00:00,0.11830000,1614682.00000000
2023-12-15 08:00:00,0.11660000,644129.00000000
2023-12-15 09:00:00,0.11570000,990725.00000000
2023-12-15 10:00:00,0.11440000,1459974.00000000
2023-12-15 11:00:00,0.11540000,458948.00000000
2023-12-15 12:00:00,0.11530000,750044.00000000
2023-12-15 13:00:00,0.11450000,2478391.00000000
2023-12-15 14:00:00,0.11700000,933200.00000000
2023-12-15 15:00:00,0.11540000,665640.00000000
2023-12-15 16:00:00,0.11600000,607828.00000000
2023-12-15 17:00:00,0.11520000,459570.00000000
2023-12-15 18:00:00,0.11500000,905127.00000000
2023-12-15 19:00:00,0.11490000,1770408.00000000
2023-12-15 20:00:00,0.11380000,3109128.00000000
2023-12-15 21:00:00,0.11630000,4198857.00000000
2023-12-15 22:00:00,0.11660000,3198855.00000000
2023-12-15 23:00:00,0.11930000,3479157.00000000
2023-12-16 00:00:00,0.11840000,1817166.00000000
2023-12-16 01:00:00,0.11850000,1699968.00000000
2023-12-16 02:00:00,0.12000000,1470061.00000000
2023-12-16 03:00:00,0.12040000,1825236.00000000
2023-12-16 04:00:00,0.12050000,1472554.00000000
2023-12-16 05:00:00,0.11900000,966223.00000000
2023-12-16 06:00:00,0.11760000,1218982.00000000
2023-12-16 07:00:00,0.11680000,1191873.00000000
2023-12-16 08:00:00,0.11710000,529934.00000000
2023-12-16 09:00:00,0.11730000,906512.00000000
2023-12-16 10:00:00,0.11980000,1336019.00000000
2023-12-16 11:00:00,0.11840000,930699.00000000
2023-12-16 12:00:00,0.11630000,1110050.00000000
2023-12-16 13:00:00,0.11630000,1728614.00000000
2023-12-16 14:00:00,0.11800000,808051.00000000
2023-12-16 15:00:00,0.11880000,809712.00000000
2023-12-16 16:00:00,0.11720000,811983.00000000
2023-12-16 17:00:00,0.11790000,966110.00000000
2023-12-16 18:00:00,0.11890000,1199340.00000000
2023-12-16 19:00:00,0.11820000,1626111.00000000
2023-12-16 20:00:00,0.11770000,3741535.00000000
2023-12-16 21:00:00,0.11930000,5898630.00000000
2023-12-16 22:00:00,0.12150000,1665149.00000000
2023-12-16 23:00:00,0.11920000,2831280.00000000
2023-12-17 00:00:00,0.12220000,4342291.00000000
2023-12-17 01:00:00,0.12280000,2104533.00000000
2023-12-17 02:00:00,0.12190000,2026698.00000000
2023-12-17 03:00:00,0.12130000,1520193.00000000
2023-12-17 04:00:00,0.12040000,945683.00000000
2023-12-17 05:00:00,0.11960000,858527.00000000
2023-12-17 06:00:00,0.12150000,783286.00000000
2023-12-17 07:00:00,0.12040000,976259.00000000
2023-12-17 08:00:00,0.11950000,1456231.00000000
2023-12-17 09:00:00,0.12120000,526753.00000000
2023-12-17 10:00:00,0.11990000,903079.00000000
2023-12-17 11:00:00,0.11970000,717910.00000000
2023-12-17 12:00:00,0.12110000,1922501.00000000
2023-12-17 13:00:00,0.11980000,2416300.00000000
2023-12-17 14:00:00,0.11880000,1138081.00000000
2023-12-17 15:00:00,0.11810000,771569.00000000
2023-12-17 16:00:00,0.11890000,1859996.00000000
2023-12-17 17:00:00,0.12150000,151494383.00000000
2023-12-17 18:00:00,0.17000000,152550813.00000000
2023-12-17 19:00:00,0.19720000,188092764.00000000
2023-12-17 20:00:00,0.24800000,145362809.00000000
2023-12-17 21:00:00,0.17650000,106360559.00000000
2023-12-17 22:00:00,0.18190000,41357623.00000000
2023-12-17 23:00:00,0.17800000,63658810.00000000
2023-12-18 00:00:00,0.18640000,62705452.00000000
2023-12-18 01:00:00,0.15460000,61045625.00000000
2023-12-18 02:00:00,0.16030000,33052757.00000000
2023-12-18 03:00:00,0.15750000,24290521.00000000
2023-12-18 04:00:00,0.15210000,15416224.00000000
2023-12-18 05:00:00,0.15310000,20091855.00000000
2023-12-18 06:00:00,0.15370000,20424315.00000000
2023-12-18 07:00:00,0.14910000,21905694.00000000
2023-12-18 08:00:00,0.15220000,20414467.00000000
2023-12-18 09:00:00,0.14600000,20776054.00000000
2023-12-18 10:00:00,0.13670000,12123906.00000000
2023-12-18 11:00:00,0.13740000,16687312.00000000
2023-12-18 12:00:00,0.14100000,52156030.00000000
2023-12-18 13:00:00,0.15000000,31292322.00000000
2023-12-18 14:00:00,0.14360000,31829656.00000000
2023-12-18 15:00:00,0.13860000,30258656.00000000
2023-12-18 16:00:00,0.14020000,15937558.00000000
2023-12-18 17:00:00,0.13850000,27770203.00000000
2023-12-18 18:00:00,0.13280000,10322573.00000000
2023-12-18 19:00:00,0.13520000,11735154.00000000
2023-12-18 20:00:00,0.13580000,14538123.00000000
2023-12-18 21:00:00,0.13840000,13278192.00000000
2023-12-18 22:00:00,0.14000000,8450773.00000000
2023-12-18 23:00:00,0.13940000,9943174.00000000
2023-12-19 00:00:00,0.14150000,9970857.00000000
2023-12-19 01:00:00,0.14080000,5534210.00000000
2023-12-19 02:00:00,0.14080000,3921661.00000000
2023-12-19 03:00:00,0.14240000,7105497.00000000
2023-12-19 04:00:00,0.14490000,7109150.00000000
2023-12-19 05:00:00,0.14360000,3928483.00000000
2023-12-19 06:00:00,0.14360000,2331093.00000000
2023-12-19 07:00:00,0.14320000,5014613.00000000
2023-12-19 08:00:00,0.14170000,6083181.00000000
2023-12-19 09:00:00,0.14300000,10573713.00000000
2023-12-19 10:00:00,0.14740000,20105999.00000000
2023-12-19 11:00:00,0.14870000,16369628.00000000
2023-12-19 12:00:00,0.15380000,9678113.00000000
2023-12-19 13:00:00,0.15050000,11008948.00000000
2023-12-19 14:00:00,0.15100000,9178738.00000000
2023-12-19 15:00:00,0.14770000,7531243.00000000
2023-12-19 16:00:00,0.14570000,9769397.00000000
2023-12-19 17:00:00,0.14390000,5421834.00000000
2023-12-19 18:00:00,0.14290000,7672208.00000000
2023-12-19 19:00:00,0.14090000,10874595.00000000
2023-12-19 20:00:00,0.13920000,6026273.00000000
2023-12-19 21:00:00,0.14040000,6965791.00000000
2023-12-19 22:00:00,0.14230000,5949899.00000000
2023-12-19 23:00:00,0.14220000,3126778.00000000
2023-12-20 00:00:00,0.14300000,6164077.00000000
2023-12-20 01:00:00,0.13910000,3321180.00000000
